"","Team","Player","Age","G","MP","PER","WARP","VORP","OWS","DWS","WS","WS/48","TS%","3PAr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OBPM","DBPM","BPM","Rk","Salary_2019_to_20","Salary_2020_to_21","Salary_2021_to_22","Salary_2022_to_23","Salary_2023_to_24","Salary_2024_to_25","Signed Using","Guaranteed","Salary_Per_Million","WARP_Per","PER_Mil","BPM_Per","VORP_Per","WS_Per","Pos"
"531","Minnesota Timberwolves","James Johnson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,15349400,16047100,NA,NA,NA,NA,"Cap space",15349400,15.3494,NA,NA,NA,NA,NA,"PF"
"532","Memphis Grizzliesphis Grizzlies","Justise Winslow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,1.3e+07,1.3e+07,1.3e+07,NA,NA,NA,"1st Round Pick",2.6e+07,13,NA,NA,NA,NA,NA,"SF"
"533","Memphis Grizzliesphis Grizzlies","Miles Plumlee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,12500000,NA,NA,NA,NA,NA,NA,12500000,12.5,NA,NA,NA,NA,NA,NA
"534","Portland Trailblazers","Trevor Ariza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,12200000,12800000,NA,NA,NA,NA,"Cap Space",1.4e+07,12.2,NA,NA,NA,NA,NA,"SF"
"535","Memphis Grizzliesphis Grizzlies","Dion Waiters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,12100000,12650000,NA,NA,NA,NA,NA,24750000,12.1,NA,NA,NA,NA,NA,"SG"
"536","Portland Trailblazers","Jusuf Nurkic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,1.2e+07,1.2e+07,1.2e+07,NA,NA,NA,"Bird Rights",2.8e+07,12,NA,NA,NA,NA,NA,NA
"537","Detroit Pistons","Tony Snell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,11392857,12178571,NA,NA,NA,NA,"Cap space",11392857,11.392857,NA,NA,NA,NA,NA,"SF"
"538","Oklahoma City Thunder","Andre Roberson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,10740741,NA,NA,NA,NA,NA,"Bird Rights",10740741,10.740741,NA,NA,NA,NA,NA,NA
"539","Detroit Pistons","John Henson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,9732396,NA,NA,NA,NA,NA,"1st Round Pick",9732396,9.732396,NA,NA,NA,NA,NA,"PF"
"540","Sacramento Kings","Bogdan Bogdanovic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,8529386,NA,NA,NA,NA,NA,"Cap space",8529386,8.529386,NA,NA,NA,NA,NA,"SG"
"541","Indiana Pacers","Doug McDermott",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,7333334,7333333,NA,NA,NA,NA,"Cap Space",14666667,7.333334,NA,NA,NA,NA,NA,"PF"
"542","Detroit Pistons","Langston Galloway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,7333333,NA,NA,NA,NA,NA,"MLE",7333333,7.333333,NA,NA,NA,NA,NA,"SG"
"543","Detroit Pistons","Derrick Rose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,7317073,7682927,NA,NA,NA,NA,"MLE",1.5e+07,7.317073,NA,NA,NA,NA,NA,"PG"
"544","New Orleans Pelicans","Darius Miller",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,7250000,7e+06,NA,NA,NA,NA,"Early Bird Rights",7250000,7.25,NA,NA,NA,NA,NA,NA
"545","New York Knicks","Joakim Noah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,6431666,6431666,6431666,NA,NA,NA,NA,19294998,6.431666,NA,NA,NA,NA,NA,NA
"546","Minnesota Timberwolves","Jarrett Culver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,5813640,6104280,6395160,8109063,NA,NA,"1st Round Pick",11917920,5.81364,NA,NA,NA,NA,NA,"SG"
"547","Portland Trailblazers","Rodney Hood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,5718000,6003900,NA,NA,NA,NA,"MLE",5718000,5.718,NA,NA,NA,NA,NA,"SF"
"548","Orlando Magic","Timofey Mozgov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188,5573333,5573333,5573334,NA,NA,NA,NA,16720000,5.573333,NA,NA,NA,NA,NA,NA
"549","Brooklyn Nets","Deron Williams",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,5474787,NA,NA,NA,NA,NA,NA,5474787,5.474787,NA,NA,NA,NA,NA,NA
"550","Detroit Pistons","Josh Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193,5331729,NA,NA,NA,NA,NA,NA,5331729,5.331729,NA,NA,NA,NA,NA,NA
"551","Miami Heat","Ryan Anderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,5214583,5214583,5214584,NA,NA,NA,NA,15643750,5.214583,NA,NA,NA,NA,NA,"PF"
"552","San Antonio Spurs","Pau Gasol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198,5100000,NA,NA,NA,NA,NA,NA,5100000,5.1,NA,NA,NA,NA,NA,NA
"553","LA Lakers","Luol Deng",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,4990000,4990000,4990000,NA,NA,NA,NA,14970000,4.99,NA,NA,NA,NA,NA,NA
"554","Portland Trailblazers","Zach Collins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222,4240200,5406255,NA,NA,NA,NA,"1st Round Pick",9646455,4.2402,NA,NA,NA,NA,NA,"PF"
"555","New Orleans Pelicans","Nicolò Melli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232,3902439,4097561,NA,NA,NA,NA,"Room Exception",8e+06,3.902439,NA,NA,NA,NA,NA,NA
"556","Detroit Pistons","Luke Kennard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234,3827160,5273826,NA,NA,NA,NA,"1st Round Pick",9100986,3.82716,NA,NA,NA,NA,NA,"SG"
